epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1229.39,1.88511,2.07937,1.24243,0.85093,0.79973,0.83538,0.33849,2.15018,1.57331,1.35139,0.000662447,0.000662447,0.000662447
2,2627.55,1.95006,1.16798,1.25493,0.00161,0.07958,0.00075,0.00045,1.87341,8357.73,17.6144,0.00124139,0.00124139,0.00124139
3,3847.74,1.93863,1.15702,1.25531,0.80203,0.74934,0.76304,0.27107,2.22599,1.26278,1.40403,0.00173234,0.00173234,0.00173234
4,5077.07,1.91984,1.11313,1.25067,0.91164,0.81698,0.89443,0.43699,1.86536,0.96374,1.28211,0.001604,0.001604,0.001604
5,6308.66,1.768,0.9904,1.18983,0.94962,0.84994,0.90705,0.44116,1.75184,0.95453,1.22836,0.001472,0.001472,0.001472
6,7541.24,1.70918,0.87884,1.17361,0.96186,0.82958,0.89431,0.43655,1.76669,1.02696,1.26672,0.00134,0.00134,0.00134
7,8776.29,1.68256,0.80381,1.15783,0.93855,0.87732,0.9263,0.41102,1.84679,0.8544,1.28628,0.001208,0.001208,0.001208
8,10086.6,1.62968,0.78426,1.14129,0.95779,0.84682,0.89148,0.3655,1.99067,0.92441,1.2772,0.001076,0.001076,0.001076
9,11445,1.59325,0.74713,1.12282,0.96916,0.84483,0.90965,0.4115,1.98474,0.90787,1.31168,0.000944,0.000944,0.000944
10,12686.6,1.59289,0.74249,1.12572,0.94177,0.85792,0.90019,0.42431,1.83246,0.96334,1.21303,0.000812,0.000812,0.000812
