epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4032.51,1.69451,1.88416,1.23455,0.97182,0.91512,0.94907,0.48125,1.67924,0.97302,1.37671,0.00066455,0.00066455,0.00066455
2,7204.29,1.59381,0.81092,1.19347,0.94936,0.9191,0.94144,0.47619,1.79836,0.78485,1.38276,0.00132761,0.00132761,0.00132761
3,10530.8,1.56623,0.77696,1.18205,0.95901,0.94634,0.94974,0.46771,1.79139,0.71667,1.41178,0.00197627,0.00197627,0.00197627
4,14053.3,1.53798,0.74322,1.15864,0.95549,0.93501,0.95862,0.51361,1.61378,0.74533,1.32142,0.00195155,0.00195155,0.00195155
5,17304.8,1.45918,0.70529,1.13133,0.96773,0.90385,0.93265,0.48015,1.71025,0.7585,1.35932,0.00191441,0.00191441,0.00191441
6,20480.9,1.45403,0.68183,1.12439,0.96691,0.93011,0.96555,0.51013,1.68097,0.7127,1.32814,0.00186737,0.00186737,0.00186737
7,23649.1,1.42865,0.66531,1.11704,0.96492,0.94098,0.96536,0.5127,1.62794,0.70806,1.31462,0.00181093,0.00181093,0.00181093
8,26816.5,1.39302,0.64742,1.10766,0.97041,0.91341,0.93763,0.51131,1.60383,0.75849,1.32473,0.00174571,0.00174571,0.00174571
9,29991.8,1.35997,0.62239,1.09095,0.94709,0.91247,0.94956,0.48401,1.7321,0.71873,1.37904,0.00167244,0.00167244,0.00167244
10,33111.1,1.3462,0.63318,1.08184,0.95957,0.95491,0.96611,0.50638,1.6605,0.67254,1.31384,0.00159191,0.00159191,0.00159191
11,36213.5,1.33134,0.63398,1.07664,0.96836,0.93354,0.9565,0.531,1.58332,0.67803,1.28677,0.001505,0.001505,0.001505
12,39305.6,1.29467,0.62524,1.05981,0.94956,0.93632,0.94151,0.49923,1.65479,0.65832,1.33958,0.00141267,0.00141267,0.00141267
13,42409.7,1.29039,0.60041,1.06802,0.97429,0.94032,0.96348,0.53085,1.61824,0.64519,1.32878,0.00131593,0.00131593,0.00131593
14,45515.5,1.29431,0.61824,1.05393,0.96751,0.92807,0.95761,0.53072,1.63162,0.66358,1.31925,0.00121583,0.00121583,0.00121583
15,48618,1.26562,0.59182,1.04697,0.94847,0.95889,0.96445,0.53089,1.57657,0.66428,1.29495,0.00111348,0.00111348,0.00111348
16,51720,1.24062,0.58721,1.03521,0.9523,0.93989,0.95288,0.51806,1.634,0.67754,1.34895,0.00101,0.00101,0.00101
17,54829,1.22905,0.57328,1.03482,0.94861,0.9426,0.96117,0.50468,1.6691,0.68288,1.35281,0.000906517,0.000906517,0.000906517
18,57935.2,1.20192,0.56891,1.02327,0.96816,0.96088,0.96723,0.53489,1.59214,0.62526,1.31265,0.000804167,0.000804167,0.000804167
19,61169.1,1.17194,0.54968,1.00584,0.97383,0.937,0.9608,0.54975,1.57578,0.61357,1.3126,0.000704073,0.000704073,0.000704073
20,64308,1.17453,0.54878,1.00306,0.95438,0.95491,0.96609,0.54164,1.58877,0.59281,1.31804,0.000607331,0.000607331,0.000607331
21,67464.2,1.12137,0.51115,1.02231,0.9662,0.94771,0.9682,0.54588,1.59311,0.62477,1.33249,0.000515,0.000515,0.000515
22,70632,1.10309,0.49932,1.01739,0.96485,0.95623,0.97108,0.56499,1.546,0.57834,1.29856,0.000428093,0.000428093,0.000428093
23,73805.1,1.0987,0.49384,1.01191,0.93891,0.937,0.96631,0.55034,1.58616,0.69955,1.30543,0.000347561,0.000347561,0.000347561
24,76937.4,1.0778,0.48767,1.00302,0.95818,0.94207,0.96497,0.55201,1.57322,0.63568,1.30621,0.000274287,0.000274287,0.000274287
25,80077.8,1.05902,0.46773,1.00696,0.94089,0.95822,0.96674,0.55284,1.56457,0.61302,1.29787,0.000209073,0.000209073,0.000209073
26,83246.1,1.05852,0.46453,1.0019,0.95749,0.94164,0.96318,0.55035,1.56589,0.63045,1.30326,0.000152635,0.000152635,0.000152635
27,86532.9,1.04732,0.45474,0.99709,0.95065,0.94164,0.9682,0.54902,1.56919,0.63133,1.30685,0.00010559,0.00010559,0.00010559
28,89709,1.03054,0.44913,0.98695,0.94707,0.93733,0.96515,0.53968,1.58107,0.64648,1.31826,6.8454e-05,6.8454e-05,6.8454e-05
29,92928.5,1.02396,0.44537,0.97968,0.94776,0.92706,0.96417,0.541,1.5902,0.67397,1.3313,4.16339e-05,4.16339e-05,4.16339e-05
30,96175.9,1.02764,0.44359,0.98638,0.94895,0.93302,0.96507,0.54484,1.57895,0.6547,1.32,2.54233e-05,2.54233e-05,2.54233e-05
